Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
1817,1997 Physics & Stats for QR1,1997-09-03,A,1,5890.0,PHYSICS,125.0,Gen Phys Mech Snd,N,,,,,,,,0,0,,PHYSIC,PHYSIC 125.0
1817,1997 Physics & Stats for QR1,1997-09-03,A,2,5891.0,PHYSICS,126.0,Electricity-Light,N,,,,,,,,0,0,,PHYSIC,PHYSIC 126.0
1817,1997 Physics & Stats for QR1,1997-09-03,A,3,5892.0,PHYSICS,140.0,General Phys I,N,,,,,,,,0,0,,PHYSIC,PHYSIC 140.0
1817,1997 Physics & Stats for QR1,1997-09-03,A,4,5894.0,PHYSICS,240.0,General Physics II,N,,,,,,,,0,0,,PHYSIC,PHYSIC 240.0
1817,1997 Physics & Stats for QR1,1997-09-03,A,5,,nan,nan,,Y,,STATS,,,,,,0,0,,na,na nan
