Course ID,Offer Nbr,Term,Session,Section,Crse Attr,CrsAtr Val,Term.1,Subject,Catalog Nbr,description,subject,course
12114,1,2360,1,42,MSA,MSA,2360,EECS,183,Elem Prog Concepts,EEC,EEC 183
12114,1,2360,1,24,MSA,MSA,2360,EECS,183,Elem Prog Concepts,EEC,EEC 183
12114,1,2360,1,46,MSA,MSA,2360,EECS,183,Elem Prog Concepts,EEC,EEC 183
12114,1,2360,1,2,MSA,MSA,2360,EECS,183,Elem Prog Concepts,EEC,EEC 183
12114,1,2360,1,33,MSA,MSA,2360,EECS,183,Elem Prog Concepts,EEC,EEC 183
12118,1,2360,1,16,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,25,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,33,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,26,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,24,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,21,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,34,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,12,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,3,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,18,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,6,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,17,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,2,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,1,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,11,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,15,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,31,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,14,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,22,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,20,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,5,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,27,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,4,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,911,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,23,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,19,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,30,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,13,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,901,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,32,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,28,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
12118,1,2360,1,29,MSA,MSA,2360,EECS,203,Discrete Math,EEC,EEC 203
4279,1,2360,1,1,MSA,MSA,2360,EECS,270,Intro Logic Design,EEC,EEC 270
4279,1,2360,1,18,MSA,MSA,2360,EECS,270,Intro Logic Design,EEC,EEC 270
