Crse Lst,Crse Lst Descr,Eff Date,Crse Lst Effective Status,Crse Seq,Course ID,Subject,Catalog Nbr,description,WildCard,Wildcard Acad Group,Wildcard Subject,Wildcard Catalog,Valid Beg,Valid End,Term Code,Term Descr,Class Assoc,Topic ID,Req Designation,subject,course
176,1997 Second Language (no other),1997-09-03,A,58,22388,ASIANLAN,266,2nd Yr Tibetan II,N,,,,2001-01-04,,,,0,0,,ASIANLA,ASIANLA 266
176,1997 Second Language (no other),1997-09-03,A,62,38700,ASIANLAN,272,2nd Yr Urdu II,N,,,,2001-09-05,,,,0,0,,ASIANLA,ASIANLA 272
176,1997 Second Language (no other),1997-09-03,A,45,13421,ASIANLAN,276,2nd Yr Vietnamese II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 276
176,1997 Second Language (no other),1997-09-03,A,69,41188,ASIANLAN,282,Second Yr Telugu II,N,,,,,2011-08-20,,,0,0,,ASIANLA,ASIANLA 282
176,1997 Second Language (no other),1997-09-03,A,92,41188,ASIANLAN,282,Second Yr Telugu II,N,,,,2011-06-29,2011-08-20,,,0,0,,ASIANLA,ASIANLA 282
176,1997 Second Language (no other),1997-09-03,A,70,41318,ASIANLAN,286,Second Yr Bengali II,N,,,,2005-09-06,2011-08-20,,,0,0,,ASIANLA,ASIANLA 286
176,1997 Second Language (no other),1997-09-03,A,102,41318,ASIANLAN,286,Second Yr Bengali II,N,,,,2016-12-23,,,,0,0,,ASIANLA,ASIANLA 286
176,1997 Second Language (no other),1997-09-03,A,10,19942,ASIANLAN,468,2nd Yr Clscl Tbtn II,N,,,,,,,,0,0,,ASIANLA,ASIANLA 468
176,1997 Second Language (no other),1997-09-03,A,78,39193,BCS,225,BCS Heritage,N,,,,2004-01-06,,,,0,0,,BC,BC 225
176,1997 Second Language (no other),1997-09-03,A,35,9007,BCS,232,Second-Year BCS II,N,,,,,,,,0,0,,BC,BC 232
176,1997 Second Language (no other),1997-09-03,A,91,43787,CAAS,315,Advanced Swahili I,N,,,,2010-09-07,2010-12-23,1810.0,Fall 2010,0,0,,CAA,CAA 315
176,1997 Second Language (no other),1997-09-03,A,14,8165,CZECH,242,Second Yr Czech,N,,,,,,,,0,0,,CZEC,CZEC 242
176,1997 Second Language (no other),1997-09-03,A,15,8167,DUTCH,232,Second Yr Dutch,N,,,,,,,,0,0,,DUTC,DUTC 232
176,1997 Second Language (no other),1997-09-03,A,16,1654,FRENCH,230,Intens 2nd Yr,N,,,,,,,,0,0,,FRENC,FRENC 230
176,1997 Second Language (no other),1997-09-03,A,17,1655,FRENCH,232,Second-Year,N,,,,,,,,0,0,,FRENC,FRENC 232
176,1997 Second Language (no other),1997-09-03,A,71,41367,FRENCH,250X,Departmental,N,,,,,,,,0,0,,FRENC,FRENC 250X
176,1997 Second Language (no other),1997-09-03,A,72,41393,FRENCH,251X,Departmental,N,,,,,,,,0,0,,FRENC,FRENC 251X
176,1997 Second Language (no other),1997-09-03,A,26,13335,GERMAN,228,2nd Year Yiddish II,N,,,,,,,,0,0,,GERMA,GERMA 228
176,1997 Second Language (no other),1997-09-03,A,18,8373,GERMAN,230,Intens 2nd Yr Ger,N,,,,,,,,0,0,,GERMA,GERMA 230
176,1997 Second Language (no other),1997-09-03,A,19,1688,GERMAN,232,Second-Year,N,,,,,,,,0,0,,GERMA,GERMA 232
176,1997 Second Language (no other),1997-09-03,A,21,8413,GREEK,302,Second-Year,N,,,,,,,,0,0,,GREE,GREE 302
176,1997 Second Language (no other),1997-09-03,A,61,5397,GREEK,308,Acts Apostles,N,,,,2001-09-05,,,,0,0,,GREE,GREE 308
176,1997 Second Language (no other),1997-09-03,A,77,19292,GREEK,405,Intermediate,N,,,,2005-09-06,,,,0,0,,GREE,GREE 405
176,1997 Second Language (no other),1997-09-03,A,29,17104,GREEKMOD,202,2nd Yr M GK II,N,,,,,,,,0,0,,GREEKMO,GREEKMO 202
176,1997 Second Language (no other),1997-09-03,A,22,13311,HEBREW,202,IM Hebrew II,N,,,,,,,,0,0,,HEBRE,HEBRE 202
176,1997 Second Language (no other),1997-09-03,A,99,45339,HEBREW,203,Int IM Mod Hebrew,N,,,,2013-05-02,,,,0,0,,HEBRE,HEBRE 203
176,1997 Second Language (no other),1997-09-03,A,65,15281,ITALIAN,230,Second Year Ital,N,,,,1997-09-03,,,,0,0,,ITALIA,ITALIA 230
176,1997 Second Language (no other),1997-09-03,A,23,5617,ITALIAN,232,Second-Year,N,,,,,,,,0,0,,ITALIA,ITALIA 232
176,1997 Second Language (no other),1997-09-03,A,26,13335,JUDAIC,202,2nd Year Yiddish II,N,,,,,,,,0,0,,JUDAI,JUDAI 202
176,1997 Second Language (no other),1997-09-03,A,6,7908,JUDAIC,221,Intmd Class Hebrw II,N,,,,,,,,0,0,,JUDAI,JUDAI 221
